SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
04M377,RENAISSANCE SCHOOL OF THE ARTS,6/05/2023,85.47
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,6/05/2023,76.15
04M495,PARK EAST HIGH SCHOOL,6/05/2023,92.95
04M497,CENTRAL PARK EAST I,6/05/2023,89.82
04M555,CENTRAL PARK EAST HIGH SCHOOL,6/05/2023,95.18
04M610,YOUNG WOMEN S LEADERSHIP SCHOOL,6/05/2023,91.03
04M680,"HERITAGE SCHOOL, THE",6/05/2023,65.98
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH   SCIENCE,6/05/2023,87.80
04M964,CENTRAL PARK EAST II,6/05/2023,88.44
05M030,P.S. 030 HERNANDEZ HUGHES,6/05/2023,78.91
05M036,P.S. 036 MARGARET DOUGLAS,6/05/2023,80.84
05M046,P.S. 046 ARTHUR TAPPAN,6/05/2023,84.28
05M092,P.S. 092 MARY MCLEOD BETHUNE,6/05/2023,90.42
05M123,P.S. 123 MAHALIA JACKSON,6/05/2023,84.77
05M125,P.S. 125 RALPH BUNCHE,6/05/2023,90.47
05M129,P.S. 129 JOHN H. FINLEY,6/05/2023,85.29
05M133,P.S. 133 FRED R MOORE,6/05/2023,88.65
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,6/05/2023,74.01
05M154,P.S. 154 HARRIET TUBMAN,6/05/2023,97.20
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,6/05/2023,73.50
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,6/05/2023,86.27
05M175,P.S. 175 HENRY H GARNET,6/05/2023,89.03
05M194,P.S. 194 COUNTEE CULLEN,6/05/2023,86.48
05M197,P.S. 197 JOHN B. RUSSWURM,6/05/2023,88.72
05M200,P.S. 200  THE JAMES MCCUNE SMITH SCHOOL,6/05/2023,88.81
05M285,HARLEM RENAISSANCE HIGH SCHOOL,6/05/2023,45.18
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,6/05/2023,85.00
05M304,MOTT HALL HIGH SCHOOL,6/05/2023,57.67
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,6/05/2023,83.13
05M362,COLUMBIA SECONDARY SCHOOL,6/05/2023,90.00
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,6/05/2023,67.88
05M371,SCHOOL OF EARTH EXPLORATION AND DISCOVERY HARLEM,6/05/2023,88.88
05M499,FREDERICK DOUGLASS ACADEMY,6/05/2023,80.66
05M514,NEW DESIGN MIDDLE SCHOOL,6/05/2023,78.82
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,6/05/2023,91.58
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,6/05/2023,68.58
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI",6/05/2023,93.46
06M004,P.S. 004 DUKE ELLINGTON,6/05/2023,86.79
06M005,P.S. 005 ELLEN LURIE,6/05/2023,87.03
06M008,P.S. 008 LUIS BELLIARD,6/05/2023,89.67
06M018,P.S. 018 PARK TERRACE,6/05/2023,96.98
06M028,P.S. 028 WRIGHT BROTHERS,6/05/2023,87.84
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,6/05/2023,92.28
06M052,HAROLD O. LEVY SCHOOL,6/05/2023,90.18
06M098,P.S. 098 SHORAC KAPPOCK,6/05/2023,88.96
06M103,DOS PUENTES ELEMENTARY SCHOOL,6/05/2023,95.16
06M115,P.S. 115 ALEXANDER HUMBOLDT,6/05/2023,90.73
06M128,P.S. 128 AUDUBON,6/05/2023,90.59
06M132,P.S. 132 JUAN PABLO DUARTE,6/05/2023,94.50
06M143,J.H.S. 143 ELEANOR ROOSEVELT,6/05/2023,89.90
06M152,P.S. 152 DYCKMAN VALLEY,6/05/2023,89.33
06M153,P.S. 153 ADAM CLAYTON POWELL,6/05/2023,90.37
06M173,P.S. 173,6/05/2023,91.40
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,6/05/2023,94.59
06M187,P.S. I.S. 187 HUDSON CLIFFS,6/05/2023,91.80
06M189,P.S. 189,6/05/2023,90.48
06M192,P.S. 192 JACOB H. SCHIFF,6/05/2023,89.41
06M209,HAMILTON GRANGE MIDDLE SCHOOL,6/05/2023,93.91
06M210,P.S. I.S. 210   TWENTY FIRST CENTURY ACADEMY FOR C,6/05/2023,91.58
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,6/05/2023,61.47
06M223,THE MOTT HALL SCHOOL,6/05/2023,93.97
06M278,PAULA HEDBAVNY SCHOOL,6/05/2023,87.38
06M293,CITY COLLEGE ACADEMY OF THE ARTS,6/05/2023,91.28
06M311,AMISTAD DUAL LANGUAGE SCHOOL,6/05/2023,92.55
06M314,MUSCOTA,6/05/2023,93.70
06M319,M.S. 319   MARIA TERESA,6/05/2023,90.47
06M322,MIDDLE SCHOOL 322,6/05/2023,90.67
06M324,M.S. 324   PATRIA MIRABAL,6/05/2023,91.05
06M328,COMMUNITY MATH   SCIENCE PREP,6/05/2023,92.40
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,6/05/2023,86.74
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6/05/2023,86.62
06M349,HARBOR HEIGHTS,6/05/2023,93.50
06M366,WASHINGTON HEIGHTS ACADEMY,6/05/2023,90.94
06M368,THE WILLIAM LYNCH SCHOOL,6/05/2023,90.04
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,6/05/2023,59.15
06M462,THE COLLEGE ACADEMY,6/05/2023,78.84
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,6/05/2023,76.47
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,6/05/2023,72.47
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,6/05/2023,73.61
06M513,CASTLE BRIDGE SCHOOL,6/05/2023,95.93
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,6/05/2023,94.67
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,6/05/2023,59.41
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,6/05/2023,81.07
07X001,P.S. 001 COURTLANDT SCHOOL,6/05/2023,90.69
07X005,P.S. 5 PORT MORRIS,6/05/2023,91.33
07X018,P.S. 018 JOHN PETER ZENGER,6/05/2023,92.30
07X025,P.S. 025 BILINGUAL SCHOOL,6/05/2023,94.01
07X029,P.S. M.S. 029 MELROSE SCHOOL,6/05/2023,87.70
07X030,P.S. 030 WILTON,6/05/2023,90.47
07X031,P.S. M.S. 031 THE WILLIAM LLOYD GARRISON,6/05/2023,93.61
07X043,P.S. 043 JONAS BRONCK,6/05/2023,90.95
07X049,P.S. 049 WILLIS AVENUE,6/05/2023,91.26
07X065,P.S. 065 MOTHER HALE ACADEMY,6/05/2023,93.81
07X154,P.S. 154 JONATHAN D. HYATT,6/05/2023,94.11
07X157,P.S. 157 GROVE HILL,6/05/2023,87.87
07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,6/05/2023,87.95
07X179,P.S. 179,6/05/2023,89.65
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,6/05/2023,92.29
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,6/05/2023,88.64
07X224,P.S. I.S. 224,6/05/2023,86.72
07X259,"H.E.R.O. HIGH  HEALTH, EDUCATION, AND RESEARCH OCC",6/05/2023,65.51
07X277,P.S. 277,6/05/2023,91.15
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,6/05/2023,83.62
07X298,ACADEMY OF PUBLIC RELATIONS,6/05/2023,93.23
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,6/05/2023,79.60
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,6/05/2023,90.84
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,6/05/2023,94.17
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,6/05/2023,92.20
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,6/05/2023,37.77
07X381,BRONX HAVEN HIGH SCHOOL,6/05/2023,49.20
