SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,9/17/2021,45.39
03M541,MANHATTAN   HUNTER SCIENCE HIGH SCHOOL,9/17/2021,93.34
03M859,SPECIAL MUSIC SCHOOL,9/17/2021,98.90
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,9/17/2021,73.17
03M862,MOTT HALL II,9/17/2021,87.36
04M007,P.S. 007 SAMUEL STERN,9/17/2021,76.82
04M012,TAG YOUNG SCHOLARS,9/17/2021,92.55
04M037,RIVER EAST ELEMENTARY,9/17/2021,74.21
04M038,P.S. 38 ROBERTO CLEMENTE,9/17/2021,83.33
04M057,JAMES WELDON JOHNSON,9/17/2021,82.61
04M072,THE LEXINGTON ACADEMY,9/17/2021,82.49
04M083,P.S. 083 LUIS MUNOZ RIVERA,9/17/2021,87.24
04M096,P.S. 096 JOSEPH LANZETTA,9/17/2021,78.44
04M102,P.S. 102 JACQUES CARTIER,9/17/2021,88.99
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,9/17/2021,79.69
04M112,P.S. 112 JOSE CELSO BARBOSA,9/17/2021,80.00
04M146,P.S. 146 ANN M. SHORT,9/17/2021,86.28
04M155,P.S. 155 WILLIAM PACA,9/17/2021,86.19
04M171,P.S. 171 PATRICK HENRY,9/17/2021,87.85
04M182,THE BILINGUAL BICULTURAL SCHOOL,9/17/2021,NS
04M206,P.S. 206 JOSE CELSO BARBOSA,9/17/2021,85.77
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS   ACADEMIC,9/17/2021,86.13
04M310,THE JUDITH S. KAYE SCHOOL,9/17/2021,36.53
04M372,ESPERANZA PREPARATORY ACADEMY,9/17/2021,74.25
04M375,MOSAIC PREPARATORY ACADEMY,9/17/2021,80.82
04M377,RENAISSANCE SCHOOL OF THE ARTS,9/17/2021,89.00
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,9/17/2021,86.98
04M495,PARK EAST HIGH SCHOOL,9/17/2021,85.71
04M497,CENTRAL PARK EAST I,9/17/2021,89.93
04M555,CENTRAL PARK EAST HIGH SCHOOL,9/17/2021,91.24
04M610,YOUNG WOMEN S LEADERSHIP SCHOOL,9/17/2021,86.15
04M680,"HERITAGE SCHOOL, THE",9/17/2021,75.87
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH   SCIENCE,9/17/2021,87.97
04M964,CENTRAL PARK EAST II,9/17/2021,81.57
05M030,P.S. 030 HERNANDEZ HUGHES,9/17/2021,77.34
05M036,P.S. 036 MARGARET DOUGLAS,9/17/2021,74.35
05M046,P.S. 046 ARTHUR TAPPAN,9/17/2021,78.15
05M092,P.S. 092 MARY MCLEOD BETHUNE,9/17/2021,76.47
05M123,P.S. 123 MAHALIA JACKSON,9/17/2021,79.50
05M125,P.S. 125 RALPH BUNCHE,9/17/2021,84.70
05M129,P.S. 129 JOHN H. FINLEY,9/17/2021,76.40
05M133,P.S. 133 FRED R MOORE,9/17/2021,78.53
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,9/17/2021,NS
05M154,P.S. 154 HARRIET TUBMAN,9/17/2021,80.93
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,9/17/2021,53.46
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,9/17/2021,76.46
